Entity,Code,Year,Coal (% growth)
Algeria,DZA,1990,-21.641
Algeria,DZA,1991,3.187
Algeria,DZA,1992,18.824
Algeria,DZA,1993,-18.564
Algeria,DZA,1994,-5.775
Algeria,DZA,1995,0
Algeria,DZA,1996,-52.903
Algeria,DZA,1997,75.342
Algeria,DZA,1998,7.031
Algeria,DZA,1999,7.117
Algeria,DZA,2000,-17.376
Algeria,DZA,2001,15.464
Algeria,DZA,2002,31.25
Algeria,DZA,2003,-17.551
Algeria,DZA,2004,19.307
Algeria,DZA,2005,-17.842
Algeria,DZA,2006,48.485
Algeria,DZA,2007,-14.172
Algeria,DZA,2008,0
Algeria,DZA,2009,-35.799
Algeria,DZA,2010,-36.214
Algeria,DZA,2011,-11.29
Algeria,DZA,2012,6.182
Algeria,DZA,2013,-45.89
Algeria,DZA,2014,13.291
Algeria,DZA,2015,-25.698
Algeria,DZA,2016,-63.158
Algeria,DZA,2017,271.429
Algeria,DZA,2018,174.725
Algeria,DZA,2019,-17.4
Algeria,DZA,2020,0
Argentina,ARG,1966,-17.543
Argentina,ARG,1967,12.458
Argentina,ARG,1968,-2.823
Argentina,ARG,1969,19.729
Argentina,ARG,1970,28.507
Argentina,ARG,1971,-12.327
Argentina,ARG,1972,-15.823
Argentina,ARG,1973,9.77
Argentina,ARG,1974,24.529
Argentina,ARG,1975,-2.663
Argentina,ARG,1976,1.144
Argentina,ARG,1977,-5.446
Argentina,ARG,1978,21.898
Argentina,ARG,1979,-6.837
Argentina,ARG,1980,-10.855
Argentina,ARG,1981,-5.241
Argentina,ARG,1982,1
Argentina,ARG,1983,-9.245
Argentina,ARG,1984,-25.772
Argentina,ARG,1985,47.519
Argentina,ARG,1986,14.243
Argentina,ARG,1987,10.986
Argentina,ARG,1988,2.475
Argentina,ARG,1989,8.208
Argentina,ARG,1990,-17.692
Argentina,ARG,1991,-12.001
Argentina,ARG,1992,12.731
Argentina,ARG,1993,-33.679
Argentina,ARG,1994,-12.452
Argentina,ARG,1995,4.94
Argentina,ARG,1996,4.757
Argentina,ARG,1997,-21.104
Argentina,ARG,1998,34.429
Argentina,ARG,1999,20.007
Argentina,ARG,2000,-24.003
Argentina,ARG,2001,-18.047
Argentina,ARG,2002,-25.509
Argentina,ARG,2003,21.969
Argentina,ARG,2004,70.183
Argentina,ARG,2005,15.146
Argentina,ARG,2006,-9.468
Argentina,ARG,2007,44.706
Argentina,ARG,2008,21.975
Argentina,ARG,2009,-45.074
Argentina,ARG,2010,40.029
Argentina,ARG,2011,8.511
Argentina,ARG,2012,-6.495
Argentina,ARG,2013,9.292
Argentina,ARG,2014,6.375
Argentina,ARG,2015,-0.488
Argentina,ARG,2016,-22.926
Argentina,ARG,2017,2.762
Argentina,ARG,2018,9.452
Argentina,ARG,2019,-40.741
Argentina,ARG,2020,9.063
Asia Pacific,,1966,5.422
Asia Pacific,,1967,-2.634
Asia Pacific,,1968,1.487
Asia Pacific,,1969,12.202
Asia Pacific,,1970,11.721
Asia Pacific,,1971,7.042
Asia Pacific,,1972,3.852
Asia Pacific,,1973,2.418
Asia Pacific,,1974,2.432
Asia Pacific,,1975,7.621
Asia Pacific,,1976,2.375
Asia Pacific,,1977,6.642
Asia Pacific,,1978,4.898
Asia Pacific,,1979,4.845
Asia Pacific,,1980,5.699
Asia Pacific,,1981,3.303
Asia Pacific,,1982,3.522
Asia Pacific,,1983,5.862
Asia Pacific,,1984,8.663
Asia Pacific,,1985,7.893
Asia Pacific,,1986,3.848
Asia Pacific,,1987,7.201
Asia Pacific,,1988,7.153
Asia Pacific,,1989,4.504
Asia Pacific,,1990,2.144
Asia Pacific,,1991,4.101
Asia Pacific,,1992,3.471
Asia Pacific,,1993,5.251
Asia Pacific,,1994,4.988
Asia Pacific,,1995,2.363
Asia Pacific,,1996,4.383
Asia Pacific,,1997,0.458
Asia Pacific,,1998,-0.098
Asia Pacific,,1999,3.05
Asia Pacific,,2000,3.793
Asia Pacific,,2001,4.596
Asia Pacific,,2002,7.655
Asia Pacific,,2003,14.227
Asia Pacific,,2004,12.539
Asia Pacific,,2005,13.66
Asia Pacific,,2006,7.683
Asia Pacific,,2007,8.347
Asia Pacific,,2008,2.783
Asia Pacific,,2009,3.243
Asia Pacific,,2010,4.582
Asia Pacific,,2011,7.335
Asia Pacific,,2012,2.139
Asia Pacific,,2013,2.664
Asia Pacific,,2014,1.243
Asia Pacific,,2015,-0.472
Asia Pacific,,2016,-0.147
Asia Pacific,,2017,1.441
Asia Pacific,,2018,2.321
Asia Pacific,,2019,1.724
Asia Pacific,,2020,-1.143
Australia,AUS,1966,3.644
Australia,AUS,1967,2.799
Australia,AUS,1968,2.994
Australia,AUS,1969,3.421
Australia,AUS,1970,1.054
Australia,AUS,1971,0.378
Australia,AUS,1972,4.455
Australia,AUS,1973,4.139
Australia,AUS,1974,4.381
Australia,AUS,1975,3.208
Australia,AUS,1976,3.394
Australia,AUS,1977,4.396
Australia,AUS,1978,2.611
Australia,AUS,1979,4.532
Australia,AUS,1980,2.923
Australia,AUS,1981,2.579
Australia,AUS,1982,1.063
Australia,AUS,1983,-0.037
Australia,AUS,1984,5.749
Australia,AUS,1985,3.438
Australia,AUS,1986,2.539
Australia,AUS,1987,4.205
Australia,AUS,1988,5.187
Australia,AUS,1989,4.881
Australia,AUS,1990,2.394
Australia,AUS,1991,2.007
Australia,AUS,1992,0.594
Australia,AUS,1993,0.643
Australia,AUS,1994,2.043
Australia,AUS,1995,3.396
Australia,AUS,1996,4.088
Australia,AUS,1997,5.06
Australia,AUS,1998,4.462
Australia,AUS,1999,6.199
Australia,AUS,2000,0.717
Australia,AUS,2001,-1.009
Australia,AUS,2002,2.251
Australia,AUS,2003,2.864
Australia,AUS,2004,4.203
Australia,AUS,2005,-0.577
Australia,AUS,2006,2.708
Australia,AUS,2007,-0.867
Australia,AUS,2008,4.231
Australia,AUS,2009,-3.312
Australia,AUS,2010,-7.248
Australia,AUS,2011,-2.525
Australia,AUS,2012,-6.35
Australia,AUS,2013,-5.091
Australia,AUS,2014,-0.828
Australia,AUS,2015,3.551
Australia,AUS,2016,-0.066
Australia,AUS,2017,-3.434
Australia,AUS,2018,-2.433
Australia,AUS,2019,-4.22
Australia,AUS,2020,-3.735
Austria,AUT,1966,-4.478
Austria,AUT,1967,-5.342
Austria,AUT,1968,-1.267
Austria,AUT,1969,-1.587
Austria,AUT,1970,7.543
Austria,AUT,1971,-8.273
Austria,AUT,1972,-9.329
Austria,AUT,1973,-0.612
Austria,AUT,1974,5.53
Austria,AUT,1975,-13.099
Austria,AUT,1976,6.423
Austria,AUT,1977,-16.111
Austria,AUT,1978,1.592
Austria,AUT,1979,8.551
Austria,AUT,1980,2.755
Austria,AUT,1981,2.37
Austria,AUT,1982,-4.89
Austria,AUT,1983,7.074
Austria,AUT,1984,13.952
Austria,AUT,1985,-0.14
Austria,AUT,1986,-10.848
Austria,AUT,1987,-0.801
Austria,AUT,1988,-4.24
Austria,AUT,1989,0.451
Austria,AUT,1990,10.207
Austria,AUT,1991,4.894
Austria,AUT,1992,-22.193
Austria,AUT,1993,-10.09
Austria,AUT,1994,1.418
Austria,AUT,1995,13.776
Austria,AUT,1996,0.425
Austria,AUT,1997,6.068
Austria,AUT,1998,-11.959
Austria,AUT,1999,-0.688
Austria,AUT,2000,13.067
Austria,AUT,2001,3.301
Austria,AUT,2002,1.592
Austria,AUT,2003,6.658
Austria,AUT,2004,-2.043
Austria,AUT,2005,-0.297
Austria,AUT,2006,-0.086
Austria,AUT,2007,-3.316
Austria,AUT,2008,-1.211
Austria,AUT,2009,-24.654
Austria,AUT,2010,17.579
Austria,AUT,2011,2.697
Austria,AUT,2012,-7.105
Austria,AUT,2013,1.713
Austria,AUT,2014,-8.402
Austria,AUT,2015,8.076
Austria,AUT,2016,-7.249
Austria,AUT,2017,4.531
Austria,AUT,2018,-11.704
Austria,AUT,2019,2.301
Austria,AUT,2020,-21.546
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,-3.261
Azerbaijan,AZE,1991,-24.719
Azerbaijan,AZE,1992,-82.09
Azerbaijan,AZE,1993,-75
Azerbaijan,AZE,1994,33.333
Azerbaijan,AZE,1995,-25
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,-100
Azerbaijan,AZE,2002,-33.333
Azerbaijan,AZE,2003,50
Azerbaijan,AZE,2004,-69.348
Azerbaijan,AZE,2005,250.169
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,53.099
Azerbaijan,AZE,2008,-25
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,50
Azerbaijan,AZE,2011,-11.111
Azerbaijan,AZE,2012,-25
Azerbaijan,AZE,2013,-16.667
Azerbaijan,AZE,2014,-40
Azerbaijan,AZE,2015,66.667
Azerbaijan,AZE,2016,-60
Azerbaijan,AZE,2017,0
Azerbaijan,AZE,2018,-50
Azerbaijan,AZE,2019,0
Azerbaijan,AZE,2020,0
Bangladesh,BGD,1973,29.947
Bangladesh,BGD,1974,-11.111
Bangladesh,BGD,1975,15.74
Bangladesh,BGD,1976,-1.2
Bangladesh,BGD,1977,4.454
Bangladesh,BGD,1978,-3.101
Bangladesh,BGD,1979,-25.599
Bangladesh,BGD,1980,33.588
Bangladesh,BGD,1981,2.801
Bangladesh,BGD,1982,21.141
Bangladesh,BGD,1983,-43.404
Bangladesh,BGD,1984,-59.981
Bangladesh,BGD,1985,39.83
Bangladesh,BGD,1986,51.022
Bangladesh,BGD,1987,57.431
Bangladesh,BGD,1988,3.005
Bangladesh,BGD,1989,4.167
Bangladesh,BGD,1990,125.2
Bangladesh,BGD,1991,-68.028
Bangladesh,BGD,1992,-6.111
Bangladesh,BGD,1993,-62.722
Bangladesh,BGD,1994,-6.349
Bangladesh,BGD,1995,988.125
Bangladesh,BGD,1996,-45.171
Bangladesh,BGD,1997,83.523
Bangladesh,BGD,1998,-71.208
Bangladesh,BGD,1999,-50.538
Bangladesh,BGD,2000,617.398
Bangladesh,BGD,2001,6.06
Bangladesh,BGD,2002,4.429
Bangladesh,BGD,2003,-4.378
Bangladesh,BGD,2004,0.143
Bangladesh,BGD,2005,105.164
Bangladesh,BGD,2006,51.939
Bangladesh,BGD,2007,-18.389
Bangladesh,BGD,2008,5.262
Bangladesh,BGD,2009,24.952
Bangladesh,BGD,2010,-36.277
Bangladesh,BGD,2011,48.869
Bangladesh,BGD,2012,-17.486
Bangladesh,BGD,2013,38.443
Bangladesh,BGD,2014,-39.994
Bangladesh,BGD,2015,197.65
Bangladesh,BGD,2016,-26.515
Bangladesh,BGD,2017,12.196
Bangladesh,BGD,2018,9.572
Bangladesh,BGD,2019,61.911
Bangladesh,BGD,2020,11.4
Belarus,BLR,1986,9.396
Belarus,BLR,1987,-2.771
Belarus,BLR,1988,7.135
Belarus,BLR,1989,-1.831
Belarus,BLR,1990,-12.039
Belarus,BLR,1991,-5.006
Belarus,BLR,1992,-16.713
Belarus,BLR,1993,-14.118
Belarus,BLR,1994,-29.936
Belarus,BLR,1995,-5.898
Belarus,BLR,1996,21.361
Belarus,BLR,1997,5.378
Belarus,BLR,1998,-11.255
Belarus,BLR,1999,-7.222
Belarus,BLR,2000,-0.727
Belarus,BLR,2001,-28.2
Belarus,BLR,2002,-5.67
Belarus,BLR,2003,-5.878
Belarus,BLR,2004,-2.045
Belarus,BLR,2005,10.433
Belarus,BLR,2006,-10.466
Belarus,BLR,2007,13.094
Belarus,BLR,2008,-6.777
Belarus,BLR,2009,-4.724
Belarus,BLR,2010,4.606
Belarus,BLR,2011,20.13
Belarus,BLR,2012,2.004
Belarus,BLR,2013,6.141
Belarus,BLR,2014,-0.797
Belarus,BLR,2015,-11.073
Belarus,BLR,2016,9.916
Belarus,BLR,2017,3.427
Belarus,BLR,2018,50
Belarus,BLR,2019,5.305
Belarus,BLR,2020,-0.381
Belgium,BEL,1966,-8.777
Belgium,BEL,1967,-1.856
Belgium,BEL,1968,3.24
Belgium,BEL,1969,-2.608
Belgium,BEL,1970,-5.758
Belgium,BEL,1971,-17.193
Belgium,BEL,1972,-4.491
Belgium,BEL,1973,-16.082
Belgium,BEL,1974,6.962
Belgium,BEL,1975,-25.314
Belgium,BEL,1976,4.213
Belgium,BEL,1977,1.427
Belgium,BEL,1978,2.405
Belgium,BEL,1979,11.416
Belgium,BEL,1980,0.81
Belgium,BEL,1981,3.591
Belgium,BEL,1982,0.157
Belgium,BEL,1983,-14.665
Belgium,BEL,1984,15.97
Belgium,BEL,1985,-0.281
Belgium,BEL,1986,-14.674
Belgium,BEL,1987,-0.485
Belgium,BEL,1988,1.052
Belgium,BEL,1989,5.066
Belgium,BEL,1990,9.861
Belgium,BEL,1991,-4.344
Belgium,BEL,1992,-10.503
Belgium,BEL,1993,-5.274
Belgium,BEL,1994,7.488
Belgium,BEL,1995,-4.488
Belgium,BEL,1996,-4.296
Belgium,BEL,1997,-6.645
Belgium,BEL,1998,-0.528
Belgium,BEL,1999,-12.38
Belgium,BEL,2000,10.645
Belgium,BEL,2001,-4.746
Belgium,BEL,2002,-14.274
Belgium,BEL,2003,-3.269
Belgium,BEL,2004,-6.988
Belgium,BEL,2005,-8.117
Belgium,BEL,2006,-1.318
Belgium,BEL,2007,-8.616
Belgium,BEL,2008,-1.242
Belgium,BEL,2009,-35.582
Belgium,BEL,2010,26.948
Belgium,BEL,2011,-5.852
Belgium,BEL,2012,-5.813
Belgium,BEL,2013,5.807
Belgium,BEL,2014,-4.65
Belgium,BEL,2015,0.552
Belgium,BEL,2016,-5.236
Belgium,BEL,2017,-2.285
Belgium,BEL,2018,-0.588
Belgium,BEL,2019,0.148
Belgium,BEL,2020,-17.36
Brazil,BRA,1966,8.357
Brazil,BRA,1967,3.351
Brazil,BRA,1968,-1.595
Brazil,BRA,1969,11.611
Brazil,BRA,1970,14.209
Brazil,BRA,1971,0.662
Brazil,BRA,1972,5.269
Brazil,BRA,1973,-1.722
Brazil,BRA,1974,6.077
Brazil,BRA,1975,18.884
Brazil,BRA,1976,6.719
Brazil,BRA,1977,26.833
Brazil,BRA,1978,14.982
Brazil,BRA,1979,8.619
Brazil,BRA,1980,9.083
Brazil,BRA,1981,-2.166
Brazil,BRA,1982,5.709
Brazil,BRA,1983,12.459
Brazil,BRA,1984,23.491
Brazil,BRA,1985,18.213
Brazil,BRA,1986,1.239
Brazil,BRA,1987,4.714
Brazil,BRA,1988,2.196
Brazil,BRA,1989,-0.773
Brazil,BRA,1990,-10.911
Brazil,BRA,1991,14.641
Brazil,BRA,1992,-2.957
Brazil,BRA,1993,3.025
Brazil,BRA,1994,2.654
Brazil,BRA,1995,4.872
Brazil,BRA,1996,3.187
Brazil,BRA,1997,0.6
Brazil,BRA,1998,-2.05
Brazil,BRA,1999,1.262
Brazil,BRA,2000,6.61
Brazil,BRA,2001,-1.583
Brazil,BRA,2002,-3.211
Brazil,BRA,2003,3.756
Brazil,BRA,2004,4.844
Brazil,BRA,2005,-3.557
Brazil,BRA,2006,-1.397
Brazil,BRA,2007,5.973
Brazil,BRA,2008,1.432
Brazil,BRA,2009,-19.312
Brazil,BRA,2010,30.177
Brazil,BRA,2011,6.821
Brazil,BRA,2012,-1.043
Brazil,BRA,2013,7.788
Brazil,BRA,2014,6.326
Brazil,BRA,2015,0.594
Brazil,BRA,2016,-9.675
Brazil,BRA,2017,5.469
Brazil,BRA,2018,-2.219
Brazil,BRA,2019,-5.711
Brazil,BRA,2020,-10.67
Bulgaria,BGR,1966,3.119
Bulgaria,BGR,1967,8.588
Bulgaria,BGR,1968,8.639
Bulgaria,BGR,1969,0.535
Bulgaria,BGR,1970,9.382
Bulgaria,BGR,1971,-1.297
Bulgaria,BGR,1972,3.069
Bulgaria,BGR,1973,0.772
Bulgaria,BGR,1974,-1.703
Bulgaria,BGR,1975,4.837
Bulgaria,BGR,1976,-6.785
Bulgaria,BGR,1977,-0.405
Bulgaria,BGR,1978,6.623
Bulgaria,BGR,1979,3.112
Bulgaria,BGR,1980,4.891
Bulgaria,BGR,1981,1.543
Bulgaria,BGR,1982,5.059
Bulgaria,BGR,1983,-0.382
Bulgaria,BGR,1984,0.156
Bulgaria,BGR,1985,4.37
Bulgaria,BGR,1986,2.788
Bulgaria,BGR,1987,-0.087
Bulgaria,BGR,1988,-6.841
Bulgaria,BGR,1989,2.064
Bulgaria,BGR,1990,-16.071
Bulgaria,BGR,1991,-10.615
Bulgaria,BGR,1992,5.156
Bulgaria,BGR,1993,7.665
Bulgaria,BGR,1994,-8.455
Bulgaria,BGR,1995,0.012
Bulgaria,BGR,1996,-0.426
Bulgaria,BGR,1997,14.028
Bulgaria,BGR,1998,-4.756
Bulgaria,BGR,1999,-17.658
Bulgaria,BGR,2000,-7.646
Bulgaria,BGR,2001,13.983
Bulgaria,BGR,2002,-7.909
Bulgaria,BGR,2003,11.96
Bulgaria,BGR,2004,-4.443
Bulgaria,BGR,2005,-2.052
Bulgaria,BGR,2006,1.54
Bulgaria,BGR,2007,12.501
Bulgaria,BGR,2008,-4.681
Bulgaria,BGR,2009,-15.823
Bulgaria,BGR,2010,8.474
Bulgaria,BGR,2011,17.611
Bulgaria,BGR,2012,-14.57
Bulgaria,BGR,2013,-14.053
Bulgaria,BGR,2014,6.837
Bulgaria,BGR,2015,3.229
Bulgaria,BGR,2016,-13.133
Bulgaria,BGR,2017,7.211
Bulgaria,BGR,2018,-10.638
Bulgaria,BGR,2019,-6.893
Bulgaria,BGR,2020,-19.285
CIS,,1966,3.643
CIS,,1967,1.548
CIS,,1968,-0.872
CIS,,1969,1.434
CIS,,1970,-0.828
CIS,,1971,2.022
CIS,,1972,2.795
CIS,,1973,1.071
CIS,,1974,0.491
CIS,,1975,2.846
CIS,,1976,-0.108
CIS,,1977,1.796
CIS,,1978,-0.605
CIS,,1979,0.724
CIS,,1980,-3.044
CIS,,1981,-0.634
CIS,,1982,1.532
CIS,,1983,0.257
CIS,,1984,-0.944
CIS,,1985,-27.426
CIS,,1986,3.29
CIS,,1987,1.715
CIS,,1988,-0.709
CIS,,1989,-3.421
CIS,,1990,-7.048
CIS,,1991,-7.382
CIS,,1992,-5.815
CIS,,1993,-9.875
CIS,,1994,-10.514
CIS,,1995,-7.567
CIS,,1996,-3.248
CIS,,1997,-8.844
CIS,,1998,-5.589
CIS,,1999,-0.631
CIS,,2000,2.003
CIS,,2001,1.01
CIS,,2002,0.757
CIS,,2003,2.247
CIS,,2004,-1.938
CIS,,2005,-3.803
CIS,,2006,3.125
CIS,,2007,-0.282
CIS,,2008,7.72
CIS,,2009,-8.415
CIS,,2010,0.572
CIS,,2011,5.344
CIS,,2012,4.813
CIS,,2013,-5.434
CIS,,2014,-2.43
CIS,,2015,1.205
CIS,,2016,-2.31
CIS,,2017,-2.083
CIS,,2018,6.638
CIS,,2019,-2.123
CIS,,2020,-4.963
Canada,CAN,1966,-1.964
Canada,CAN,1967,-0.923
Canada,CAN,1968,8.642
Canada,CAN,1969,-3.454
Canada,CAN,1970,7.363
Canada,CAN,1971,-4.95
Canada,CAN,1972,-5.637
Canada,CAN,1973,2.99
Canada,CAN,1974,1.605
Canada,CAN,1975,-2.713
Canada,CAN,1976,18.393
Canada,CAN,1977,27.781
Canada,CAN,1978,-17.773
Canada,CAN,1979,-5.31
Canada,CAN,1980,21.792
Canada,CAN,1981,2.104
Canada,CAN,1982,5.669
Canada,CAN,1983,4.626
Canada,CAN,1984,11.389
Canada,CAN,1985,-3.88
Canada,CAN,1986,-7.317
Canada,CAN,1987,7.478
Canada,CAN,1988,7.387
Canada,CAN,1989,-0.21
Canada,CAN,1990,-5.144
Canada,CAN,1991,-3.202
Canada,CAN,1992,1.87
Canada,CAN,1993,-11.214
Canada,CAN,1994,6.029
Canada,CAN,1995,4.528
Canada,CAN,1996,2.055
Canada,CAN,1997,4.515
Canada,CAN,1998,6.913
Canada,CAN,1999,-3.873
Canada,CAN,2000,5.808
Canada,CAN,2001,3.923
Canada,CAN,2002,0.582
Canada,CAN,2003,-0.246
Canada,CAN,2004,-5.536
Canada,CAN,2005,-0.431
Canada,CAN,2006,-3.132
Canada,CAN,2007,4.545
Canada,CAN,2008,-4.972
Canada,CAN,2009,-16.452
Canada,CAN,2010,2.466
Canada,CAN,2011,-9.847
Canada,CAN,2012,-4.372
Canada,CAN,2013,-3.268
Canada,CAN,2014,-4.497
Canada,CAN,2015,0.156
Canada,CAN,2016,-6.494
Canada,CAN,2017,1.738
Canada,CAN,2018,-16.736
Canada,CAN,2019,-2.772
Canada,CAN,2020,-21.971
Chile,CHL,1966,3.004
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,6.917
Chile,CHL,1971,-3.429
Chile,CHL,1972,-17.353
Chile,CHL,1973,8.594
Chile,CHL,1974,-5.216
Chile,CHL,1975,-20.114
Chile,CHL,1976,0.95
Chile,CHL,1977,7.647
Chile,CHL,1978,-2.514
Chile,CHL,1979,10.65
Chile,CHL,1980,10.436
Chile,CHL,1981,-0.183
Chile,CHL,1982,-33.364
Chile,CHL,1983,19.862
Chile,CHL,1984,34.868
Chile,CHL,1985,0.085
Chile,CHL,1986,-5.03
Chile,CHL,1987,3.052
Chile,CHL,1988,39.373
Chile,CHL,1989,35.125
Chile,CHL,1990,20.472
Chile,CHL,1991,-17.845
Chile,CHL,1992,-13.534
Chile,CHL,1993,0.892
Chile,CHL,1994,17.946
Chile,CHL,1995,7.808
Chile,CHL,1996,38.572
Chile,CHL,1997,30.181
Chile,CHL,1998,-5.912
Chile,CHL,1999,3.195
Chile,CHL,2000,-22.723
Chile,CHL,2001,-21.543
Chile,CHL,2002,0.793
Chile,CHL,2003,-4.389
Chile,CHL,2004,15.833
Chile,CHL,2005,-1.996
Chile,CHL,2006,24.847
Chile,CHL,2007,18.69
Chile,CHL,2008,6.936
Chile,CHL,2009,-8.58
Chile,CHL,2010,12.423
Chile,CHL,2011,28.255
Chile,CHL,2012,16.589
Chile,CHL,2013,12.406
Chile,CHL,2014,0.877
Chile,CHL,2015,-3.956
Chile,CHL,2016,1.418
Chile,CHL,2017,3.975
Chile,CHL,2018,-3.488
Chile,CHL,2019,0.604
Chile,CHL,2020,-4.151
China,CHN,1966,6.974
China,CHN,1967,-11.111
China,CHN,1968,-0.744
China,CHN,1969,20.757
China,CHN,1970,27.234
China,CHN,1971,15.3
China,CHN,1972,5.755
China,CHN,1973,1.31
China,CHN,1974,-1.056
China,CHN,1975,12.705
China,CHN,1976,2.444
China,CHN,1977,10.002
China,CHN,1978,9.803
China,CHN,1979,3.451
China,CHN,1980,4.006
China,CHN,1981,-0.532
China,CHN,1982,5.813
China,CHN,1983,7.092
China,CHN,1984,8.756
China,CHN,1985,9.174
China,CHN,1986,4.543
China,CHN,1987,8.499
China,CHN,1988,7.427
China,CHN,1989,4.777
China,CHN,1990,1.449
China,CHN,1991,4.873
China,CHN,1992,4.633
China,CHN,1993,6.519
China,CHN,1994,6.573
China,CHN,1995,1.246
China,CHN,1996,4.634
China,CHN,1997,-2.019
China,CHN,1998,-0.759
China,CHN,1999,2.888
China,CHN,2000,1.387
China,CHN,2001,5.168
China,CHN,2002,9.631
China,CHN,2003,19.177
China,CHN,2004,16.593
China,CHN,2005,17.102
China,CHN,2006,9.823
China,CHN,2007,8.899
China,CHN,2008,1.585
China,CHN,2009,4.754
China,CHN,2010,3.747
China,CHN,2011,8.857
China,CHN,2012,1.257
China,CHN,2013,2.141
China,CHN,2014,0.063
China,CHN,2015,-1.886
China,CHN,2016,-0.894
China,CHN,2017,0.467
China,CHN,2018,0.648
China,CHN,2019,0.837
China,CHN,2020,0.589
Colombia,COL,1966,0
Colombia,COL,1967,9.732
Colombia,COL,1968,-8.914
Colombia,COL,1969,6.756
Colombia,COL,1970,4.374
Colombia,COL,1971,-22.233
Colombia,COL,1972,3.9
Colombia,COL,1973,1.84
Colombia,COL,1974,20.927
Colombia,COL,1975,1.646
Colombia,COL,1976,-2.194
Colombia,COL,1977,2.515
Colombia,COL,1978,1.074
Colombia,COL,1979,0.872
Colombia,COL,1980,4.876
Colombia,COL,1981,1.884
Colombia,COL,1982,4.123
Colombia,COL,1983,10.218
Colombia,COL,1984,4.11
Colombia,COL,1985,3.139
Colombia,COL,1986,-1.257
Colombia,COL,1987,25.738
Colombia,COL,1988,-20.229
Colombia,COL,1989,15.86
Colombia,COL,1990,-54.404
Colombia,COL,1991,25.761
Colombia,COL,1992,67.261
Colombia,COL,1993,4.849
Colombia,COL,1994,14.461
Colombia,COL,1995,-10.513
Colombia,COL,1996,-22.479
Colombia,COL,1997,18.437
Colombia,COL,1998,-4.898
Colombia,COL,1999,-20.137
Colombia,COL,2000,7.399
Colombia,COL,2001,-1.525
Colombia,COL,2002,-17.756
Colombia,COL,2003,10.853
Colombia,COL,2004,-12.493
Colombia,COL,2005,-36.991
Colombia,COL,2006,184.855
Colombia,COL,2007,-11.951
Colombia,COL,2008,32.307
Colombia,COL,2009,-8.019
Colombia,COL,2010,17.698
Colombia,COL,2011,-19.033
Colombia,COL,2012,20.532
Colombia,COL,2013,7.569
Colombia,COL,2014,5.924
Colombia,COL,2015,-7.057
Colombia,COL,2016,9.981
Colombia,COL,2017,-23.792
Colombia,COL,2018,-6.124
Colombia,COL,2019,24.359
Colombia,COL,2020,31.739
Croatia,HRV,1991,-43.775
Croatia,HRV,1992,-12.101
Croatia,HRV,1993,-15.012
Croatia,HRV,1994,-37.407
Croatia,HRV,1995,-17.787
